date,temperature_mean_c,temperature_min_c,temperature_max_c,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gust_max_kmh,precipitation_mm,humidity_pct,pressure_hpa,is_unsafe,risk_label,month,day_of_year,temp_range_c,wind_gust_factor,rain_flag,heavy_rain_flag,wind_rain_interaction,thermal_stress_index
2020-01-01,6.157819482701068,-1.2014514603692683,15.941392636334434,23.60857576811445,31.731690859368147,36.8295295439108,4.823912412997119,71.61404616152396,1019.8936838484456,0,safe,1,1,17.1428440967037,1.5600064106218752,1,0,153.07089742189322,17.260058824034836
2020-01-02,2.1649426743818885,-6.637992138151235,12.983704920886206,17.906674050855248,35.06853272625642,56.14229106943713,7.327622800694625,41.795901619686944,1003.4498924327376,1,unsafe,1,2,19.62169705903744,3.135271849478697,1,0,256.9689799918222,25.65428721726503
2020-01-03,7.580650447052793,1.7260888393444471,13.185219573781032,15.95159417949562,21.99818734346648,23.918456353349505,4.936315225149148,44.53579097346514,1017.4318487500282,0,safe,1,3,11.459130734436584,1.4994398731692027,1,0,108.58998710923687,17.08869158687452
2020-01-04,8.198554834970238,2.0731459973995827,16.751627296004255,35.881083828950054,38.5666718044579,49.65816446656773,0.0,47.27568032724333,1016.4493145677357,0,safe,1,4,14.678481298604673,1.3839650079494497,0,0,0.0,13.175226706596163
2020-01-05,-0.425533188556817,-8.48614799449211,6.117369655627843,17.25422156254942,24.419343247657505,40.57347050800709,0.0,63.76621167196253,1013.8575660457748,1,unsafe,1,5,14.603517650119954,2.3515097659388178,0,0,0.0,34.36877833886427
2020-01-06,1.5748783869020837,-4.953933186811622,9.832528621536529,21.404715929569385,32.20035303202262,52.183190860540336,0.0,54.83728992574926,1000.539287862949,1,unsafe,1,6,14.78646180834815,2.4379296147748573,0,0,0.0,27.121404565275093
2020-01-07,5.921899530255168,-1.7609659353234974,12.8446288436359,13.495332180426978,17.648330234276894,28.21107621573869,10.322247787942304,57.865956030728576,1007.346914022702,1,unsafe,1,7,14.605594778959398,2.090432146357595,1,1,182.17043772163996,20.916337091687595
2020-01-08,4.649711961270685,-1.6488353609972757,11.350505262730833,21.62472642583274,37.09575305978773,50.5126973244584,0.0,50.36128459748807,1006.8621632540542,0,safe,1,8,12.99934062372811,2.3358768258966873,0,0,0.0,22.29833009826644
2020-01-09,5.611179890126285,0.5337041810627818,14.05425170227387,16.444105988757663,21.7440570566063,37.89234950429252,8.610784956643023,62.151432119301745,1007.5334524203898,1,unsafe,1,9,13.520547521211089,2.3043119236885463,1,1,187.23339939941312,17.41204411666335
2020-01-10,3.1686587002270827,-4.557360513677972,9.268567671444323,18.964796790200836,22.21221183660236,29.63610920173403,9.875696196961224,73.94157964111541,1001.4154861640895,1,unsafe,1,10,13.825928185122295,1.5626905750472946,1,1,219.361055960831,27.288792842233647
2020-01-11,8.435235405217322,3.7794595592937714,16.250036027050022,26.468471134030526,54.51476565980257,58.40618325987396,0.0,42.41635180689502,1010.6040748962798,1,unsafe,1,11,12.470576467756251,2.206632297125054,0,0,0.0,11.970504413656206
2020-01-12,8.202691641403865,3.2097733237473243,17.107565231668076,23.66822093310176,27.647650671544557,49.76990124043703,6.110490981088103,57.29449821818572,1012.7225320442795,0,safe,1,12,13.897791907920752,2.102815474855997,1,0,168.94072007674745,11.6826614445846
2020-01-13,6.142684222644977,-0.9914406912760664,11.9117766617418,24.21426571703882,29.395601501843437,41.83703124117024,0.0,59.14287495642969,1016.4407812850582,0,safe,1,13,12.903217353017867,1.727784427992414,0,0,0.0,21.079664029534264
2020-01-14,9.404571680075104,1.668222679114754,19.98813730533653,12.57923964415902,24.569723227035816,32.95543707494514,0.0,74.36193430538222,1009.403647934022,0,safe,1,14,18.319914626221774,2.6198274305273688,0,0,0.0,10.343640015548717
2020-01-15,7.506588460581462,-0.9668509737576124,15.540936657306212,30.681767484403306,36.57494180547207,39.01378393176371,0.0,54.88841678929823,1004.2166332189454,0,safe,1,15,16.507787631063824,1.2715624662626064,0,0,0.0,17.4259143164514
2020-01-16,3.610327800295252,-1.7526046867842069,13.527495631601305,15.598876556699498,18.94695522878034,19.69480279095105,0.0,52.08987296153871,1013.9163637980369,0,safe,1,16,15.28010031838551,1.262578283722132,0,0,0.0,20.2251090551829
2020-01-17,7.381509742870497,2.827888449867725,16.30494232659688,29.261024262948887,34.056717328575715,44.99603896490958,0.0,58.28361838139234,1018.6718640114574,0,safe,1,17,13.477053876729155,1.5377465450478027,0,0,0.0,12.867169223535395
2020-01-18,3.4885434409263314,-5.291689856686814,12.748549088261605,26.78480444472736,50.10057314602531,50.78407350699917,0.0,30.118429411906845,1007.831862201164,1,unsafe,1,18,18.04023894494842,1.896003146552601,0,0,0.0,24.54314076842521
2020-01-19,9.093331001896251,4.321215561785541,18.390116647853283,24.621524147406177,35.673536721896745,43.99176559446145,0.0,40.61625159171137,1011.910454922276,0,safe,1,19,14.068901086067742,1.7867198363142716,0,0,0.0,9.288667790361176
2020-01-20,6.40381872600741,1.4154838147342126,16.654418108376248,17.516605137850906,30.03938187220827,34.62757660225193,0.0,50.49560201345859,1009.3194754897588,0,safe,1,20,15.238934293642036,1.9768429059022763,0,0,0.0,13.93009807688954
2020-01-21,6.0974249025614125,0.6407776347690834,14.779057512842956,22.605023358517304,31.66244310096361,37.2660095156011,0.0,46.444370191208165,1007.7332825053766,0,safe,1,21,14.138279878073872,1.6485720419111936,0,0,0.0,16.58016485238796
2020-01-22,4.710408904808915,-1.936547865322522,11.379711815137252,19.546872202129578,29.67523446145033,48.56549505882316,0.0,35.79000052907905,1013.840094523805,0,safe,1,22,13.316259680459774,2.4845660500881612,0,0,0.0,22.556836050185268
2020-01-23,10.524747125998204,2.1106192958278136,16.12180498319095,22.099926141310345,27.6645017274868,32.28982425569066,8.955602302095995,73.35338588589742,1005.8421897531348,1,unsafe,1,23,14.011185687363135,1.461082903590923,1,1,247.75227535701944,13.767575720981238
2020-01-24,6.500169467467037,-1.3025606461822976,15.137673184167886,20.757444145445582,29.052155045841992,37.68303560518698,0.0,58.11708075468786,1012.6597913007704,0,safe,1,24,16.440233830350184,1.8153986271693794,0,0,0.0,18.164887462014413
2020-01-25,5.788086884429707,-1.7527008847834686,11.186203707053194,11.864642762174764,13.032529725965007,17.679054684012222,0.0,56.683182967390096,1015.5826548274904,0,safe,1,25,12.938904591836662,1.4900621146701671,0,0,0.0,22.566497177730277
2020-01-26,6.128627378613869,1.252724539333851,12.57638808875105,27.71630352143501,41.79866305376704,52.02597805720297,8.7896566253456,54.58279714895856,1006.0729564249568,1,unsafe,1,26,11.3236635494172,1.8770893462386693,1,1,367.3958956411318,18.1708873719151
2020-01-27,7.320852604963787,3.1081121747056253,14.260768439946968,21.750317349082238,27.276629578139485,36.48883073380132,2.047881738725175,57.79580914081664,1012.6738412908552,0,safe,1,27,11.152656265241344,1.6776229122625184,1,0,55.85931160704283,14.631119385347407
