date,temperature_mean_c,temperature_min_c,temperature_max_c,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gust_max_kmh,precipitation_mm,humidity_pct,pressure_hpa
2020-01-01,6.157819482701068,-1.2014514603692685,15.941392636334434,23.608575768114452,31.731690859368147,36.829529543910795,4.823912412997119,71.61404616152396,1019.8936838484457
2020-01-02,2.1649426743818885,-6.637992138151235,12.983704920886206,17.906674050855248,35.06853272625642,56.14229106943713,7.327622800694625,41.795901619686944,1003.4498924327377
2020-01-03,7.580650447052793,1.7260888393444471,13.185219573781032,15.95159417949562,21.99818734346648,23.918456353349505,4.936315225149148,,1017.4318487500282
2020-01-04,8.198554834970238,2.0731459973995827,16.751627296004255,35.881083828950054,38.5666718044579,49.65816446656773,0.0,47.27568032724333,1016.4493145677357
2020-01-05,-0.425533188556817,-8.48614799449211,6.117369655627843,17.25422156254942,24.419343247657505,40.57347050800709,0.0,63.76621167196253,1013.8575660457747
2020-01-06,1.5748783869020837,-4.953933186811622,9.832528621536527,21.404715929569385,32.20035303202262,52.183190860540336,0.0,54.83728992574926,1000.539287862949
2020-01-07,5.921899530255168,-1.7609659353234974,12.844628843635899,13.495332180426978,17.648330234276894,28.211076215738686,10.322247787942304,57.865956030728576,1007.3469140227021
2020-01-08,4.649711961270685,-1.6488353609972757,11.350505262730831,21.62472642583274,37.09575305978773,50.512697324458394,0.0,50.361284597488066,1006.8621632540542
2020-01-09,5.611179890126285,0.5337041810627818,14.05425170227387,16.444105988757663,21.7440570566063,37.89234950429252,8.610784956643023,,1007.5334524203898
2020-01-10,3.1686587002270827,-4.557360513677972,9.268567671444325,18.964796790200833,22.21221183660236,29.63610920173403,9.875696196961224,73.94157964111541,1001.4154861640897
2020-01-11,8.435235405217322,3.7794595592937714,16.250036027050022,26.468471134030526,54.51476565980257,58.40618325987396,0.0,42.41635180689502,1010.6040748962798
2020-01-12,8.202691641403865,3.2097733237473243,17.107565231668076,23.668220933101757,27.647650671544554,49.76990124043703,6.110490981088103,57.29449821818572,1012.7225320442795
2020-01-13,6.142684222644977,-0.9914406912760665,11.9117766617418,24.21426571703882,29.395601501843434,41.837031241170244,0.0,59.14287495642969,1016.4407812850582
